image_path,root_mask_path,shoot_mask_path,seed_mask_path
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/023_43-14-ROOT1-2023-08-08_pvdCherry_OD0001_f6h1_03-Fish Eye Corrected.png,FALSE,FALSE,FALSE
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/023_43-18-ROOT1-2023-08-08_pvd_OD001_f6h1_01-Fish Eye Corrected.png,FALSE,FALSE,FALSE
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/024_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_01-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/024_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_01-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/024_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_01-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/024_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_01-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/024_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/024_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/024_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/024_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/025_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/025_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/025_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/025_43-1-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/025_43-17-ROOT1-2023-08-08_pvdCherry_OD01_Col0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/025_43-17-ROOT1-2023-08-08_pvdCherry_OD01_Col0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/025_43-17-ROOT1-2023-08-08_pvdCherry_OD01_Col0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/025_43-17-ROOT1-2023-08-08_pvdCherry_OD01_Col0_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/026_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/026_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/026_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/026_43-18-ROOT1-2023-08-08_pvd_OD0001_col-0_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/026_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/026_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/026_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/026_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/027_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_01-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/027_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_01-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/027_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_01-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/027_43-18-ROOT1-2023-08-08_pvd_OD0001_f6h1_01-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/027_43-2-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/027_43-2-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/027_43-2-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/027_43-2-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/028_43-18-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/028_43-18-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/028_43-18-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/028_43-18-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/028_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_05-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/028_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_05-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/028_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_05-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/028_43-6-ROOT1-2023-08-08_pvd_OD01_Col0_05-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/029_43-17-ROOT1-2023-08-08_pvd_OD0001_f6h1_05-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/029_43-17-ROOT1-2023-08-08_pvd_OD0001_f6h1_05-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/029_43-17-ROOT1-2023-08-08_pvd_OD0001_f6h1_05-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/029_43-17-ROOT1-2023-08-08_pvd_OD0001_f6h1_05-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/029_43-2-ROOT1-2023-08-08_pvdCherry_OD01_f6h1_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/029_43-2-ROOT1-2023-08-08_pvdCherry_OD01_f6h1_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/029_43-2-ROOT1-2023-08-08_pvdCherry_OD01_f6h1_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/029_43-2-ROOT1-2023-08-08_pvdCherry_OD01_f6h1_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/041_43-13-ROOT1-2023-08-08_pvdCherry_OD01_Col0_03-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-13-ROOT1-2023-08-08_pvdCherry_OD01_Col0_03-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-13-ROOT1-2023-08-08_pvdCherry_OD01_Col0_03-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-13-ROOT1-2023-08-08_pvdCherry_OD01_Col0_03-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/041_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/041_43-18-ROOT1-2023-08-08_pvd_OD01_Col0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-18-ROOT1-2023-08-08_pvd_OD01_Col0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-18-ROOT1-2023-08-08_pvd_OD01_Col0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/041_43-18-ROOT1-2023-08-08_pvd_OD01_Col0_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/042_43-11-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-11-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-11-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-11-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/042_43-13-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-13-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-13-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-13-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/042_43-18-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-18-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-18-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/042_43-18-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/043_43-11-ROOT1-2023-08-08_pvd_OD0001_f6h1_03-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-11-ROOT1-2023-08-08_pvd_OD0001_f6h1_03-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-11-ROOT1-2023-08-08_pvd_OD0001_f6h1_03-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-11-ROOT1-2023-08-08_pvd_OD0001_f6h1_03-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/043_43-14-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-14-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-14-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-14-ROOT1-2023-08-08_mock_pH5_f6h1_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/043_43-18-ROOT1-2023-08-08_pvd_OD01_f6h1_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-18-ROOT1-2023-08-08_pvd_OD01_f6h1_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-18-ROOT1-2023-08-08_pvd_OD01_f6h1_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/043_43-18-ROOT1-2023-08-08_pvd_OD01_f6h1_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/044_43-13-ROOT1-2023-08-08_pvdCherry_OD001_Col0_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-13-ROOT1-2023-08-08_pvdCherry_OD001_Col0_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-13-ROOT1-2023-08-08_pvdCherry_OD001_Col0_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-13-ROOT1-2023-08-08_pvdCherry_OD001_Col0_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/044_43-13-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-13-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-13-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-13-ROOT1-2023-08-08_pvd_OD0001_col-0_05-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/044_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/044_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_03-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/045_43-11-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-11-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-11-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-11-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_01-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/045_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-17-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/045_43-17-ROOT1-2023-08-08_pvd_OD01_f6h1_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-17-ROOT1-2023-08-08_pvd_OD01_f6h1_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-17-ROOT1-2023-08-08_pvd_OD01_f6h1_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/045_43-17-ROOT1-2023-08-08_pvd_OD01_f6h1_04-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/046_43-13-ROOT1-2023-08-08_mock_pH5_f6h1_01-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_mock_pH5_f6h1_01-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_mock_pH5_f6h1_01-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_mock_pH5_f6h1_01-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/046_43-13-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_03-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_03-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_03-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_03-Fish Eye Corrected_seed_mask.tif
/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/images/train/046_43-13-ROOT1-2023-08-08_pvd_OD001_Col0_04-Fish Eye Corrected.png,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_pvd_OD001_Col0_04-Fish Eye Corrected_root_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_pvd_OD001_Col0_04-Fish Eye Corrected_shoot_mask.tif,/home/y2b/2025-26b-fai2-adsai-OleksiiKrasnoshtanov240247/DataLabs/data/raw/Y2B_23/masks/046_43-13-ROOT1-2023-08-08_pvd_OD001_Col0_04-Fish Eye Corrected_seed_mask.tif
